degree,hours_daily,field,job_level,yrs_experience,company_size,country,salary_usd
phd,6,medicine,senior,23,medium,Canada,163998.48
bachelors,12,research,intermediate,9,medium,Brazil,92638.76
phd,10,medicine,entry,35,small,Thailand,131550.84
phd,6,research,entry,38,large,China,137226.29
bachelors,12,it,senior,36,large,Japan,250443.07
masters,11,education,intermediate,7,large,Indonesia,89048.54
masters,12,research,entry,27,large,Pakistan,116212.96
masters,8,engineering,entry,32,small,Germany,85016.96
phd,12,research,senior,40,small,Indonesia,192571.81
bachelors,8,medicine,entry,30,micro,Pakistan,90437.21
bachelors,9,design,intermediate,31,large,Vietnam,132995.08
phd,9,education,entry,32,medium,Philippines,89988.33
phd,8,marketing,entry,15,small,Vietnam,60267.7
masters,8,medicine,senior,23,micro,Japan,125234.27
bachelors,9,engineering,entry,13,medium,Philippines,54647.06
masters,12,research,entry,32,medium,Vietnam,112471.7
phd,10,research,entry,39,small,Germany,120246.16
phd,10,engineering,intermediate,26,micro,China,110146.91
phd,7,engineering,intermediate,30,micro,USA,93851.22
phd,9,law,senior,6,medium,Russia,142600.11
bachelors,11,education,intermediate,12,medium,Philippines,65431.2
masters,10,medicine,intermediate,27,micro,Mexico,120299.47
phd,11,engineering,entry,10,micro,USA,65068.47
bachelors,11,law,intermediate,10,large,Pakistan,109354.63
phd,10,education,entry,8,large,Ethiopia,73892.95
masters,10,it,intermediate,1,small,Brazil,64547.68
phd,12,engineering,entry,38,medium,Vietnam,128296.79
bachelors,11,it,entry,31,small,China,99150.32
masters,11,law,senior,26,medium,India,182239.89
phd,9,finance,entry,37,medium,Philippines,137724.3
masters,7,marketing,intermediate,5,small,Indonesia,50642.23
phd,10,design,entry,13,micro,Pakistan,61256.8
phd,7,law,entry,36,small,Nigeria,105982.83
masters,8,law,senior,30,medium,Japan,158490.7
masters,6,it,entry,15,large,Indonesia,72334.56
phd,12,design,entry,0,small,USA,45580.92
masters,10,marketing,entry,1,large,Canada,49422.11
masters,6,engineering,senior,30,micro,Iran,116179.16
masters,7,it,senior,24,medium,Russia,151290.67
bachelors,8,medicine,entry,15,micro,Turkey,56275.19
bachelors,12,sales,senior,25,large,Turkey,176689.75
phd,9,design,intermediate,22,micro,Egypt,84803.35
bachelors,10,medicine,entry,3,large,Canada,64206.36
phd,10,finance,senior,27,medium,China,172628.46
phd,12,research,intermediate,12,medium,China,111363.63
masters,9,marketing,entry,23,large,Bangladesh,98140.81
phd,10,engineering,intermediate,10,medium,USA,98940.2
bachelors,6,medicine,entry,14,large,Thailand,77429.57
phd,6,research,intermediate,5,medium,Egypt,69137.8
bachelors,12,marketing,senior,34,small,Brazil,141929.56
phd,9,engineering,entry,31,micro,Mexico,84673.19
bachelors,11,it,intermediate,32,large,Brazil,172469.68
bachelors,12,education,intermediate,3,micro,USA,51871.81
phd,9,research,senior,13,micro,Indonesia,100790.65
phd,6,it,intermediate,34,micro,Vietnam,111102.15
bachelors,9,marketing,intermediate,27,large,Turkey,109578.04
masters,9,finance,intermediate,33,large,dr_congo,155623.88
phd,12,law,intermediate,29,small,Philippines,158763.61
phd,7,education,senior,4,medium,Canada,83156.67
phd,10,education,senior,11,micro,Thailand,99176.69
phd,6,research,senior,13,large,Nigeria,149417.77
bachelors,8,it,entry,15,micro,China,53909.11
masters,11,medicine,senior,24,medium,Pakistan,187143.37
bachelors,11,finance,intermediate,18,micro,India,81017.88
bachelors,12,law,entry,5,medium,USA,55027.61
bachelors,10,research,intermediate,38,medium,Turkey,129325.98
masters,12,law,senior,30,large,Japan,244541.82
bachelors,6,medicine,senior,9,micro,Ethiopia,101413.06
phd,11,it,intermediate,0,medium,Iran,92026.3
bachelors,8,research,intermediate,34,micro,Indonesia,98454.62
masters,7,finance,senior,32,large,dr_congo,208168.4
masters,12,sales,intermediate,17,micro,Ethiopia,67942.97
phd,9,law,intermediate,5,micro,Japan,85690.69
phd,9,research,intermediate,37,medium,Japan,133853.74
bachelors,6,law,senior,13,small,dr_congo,102535.27
masters,6,design,senior,5,medium,Iran,83989.6
bachelors,12,law,senior,6,micro,Ethiopia,109790.83
phd,11,medicine,senior,34,micro,Indonesia,191389.36
masters,7,law,intermediate,32,medium,Bangladesh,126197.24
masters,9,engineering,senior,13,large,Canada,137331.4
masters,9,medicine,entry,40,medium,Nigeria,147180.37
phd,11,research,senior,29,small,Nigeria,178675.76
bachelors,8,sales,senior,6,micro,Thailand,64106.98
masters,9,sales,entry,13,large,dr_congo,65710.3
bachelors,10,engineering,senior,23,small,Nigeria,134687.35
bachelors,9,education,senior,13,medium,Brazil,106707.84
phd,12,research,senior,2,medium,Bangladesh,145124.94
bachelors,11,marketing,intermediate,27,small,Vietnam,89557.85
phd,10,law,intermediate,27,large,Thailand,186011.63
bachelors,9,finance,senior,36,large,India,219037.79
masters,6,it,senior,30,micro,Vietnam,119150.01
phd,8,research,intermediate,8,micro,Germany,70941.47
masters,10,marketing,senior,11,medium,China,125534.97
bachelors,7,marketing,senior,30,micro,Vietnam,91121.68
bachelors,8,design,intermediate,27,micro,Bangladesh,77856.84
bachelors,8,medicine,entry,18,micro,Philippines,58933.54
phd,6,medicine,intermediate,35,large,Pakistan,195033.78
bachelors,7,medicine,senior,4,medium,Ethiopia,117921.16
bachelors,6,engineering,senior,37,small,Germany,139515.9
bachelors,9,marketing,senior,1,small,Iran,71790.3
masters,8,marketing,intermediate,35,small,Russia,100847.71
masters,9,design,intermediate,31,large,Brazil,132788.66
phd,8,medicine,senior,28,large,Bangladesh,219227.85
bachelors,6,design,intermediate,5,medium,Indonesia,53601.47
bachelors,7,education,senior,40,large,Canada,159304.4
masters,9,sales,senior,23,large,Turkey,147483.63
masters,12,finance,intermediate,3,small,Japan,83344.65
phd,9,engineering,senior,9,micro,dr_congo,101606.57
phd,9,research,senior,20,small,Germany,131426.07
bachelors,6,finance,senior,28,micro,Philippines,106010.42
bachelors,10,design,senior,15,large,Indonesia,137079.63
bachelors,6,engineering,intermediate,7,large,Mexico,71529.5
bachelors,7,engineering,entry,38,small,Egypt,84768.67
bachelors,11,design,entry,23,small,Thailand,68472.01
phd,9,engineering,intermediate,27,micro,Canada,103967.78
bachelors,9,design,entry,23,small,Thailand,61190.92
phd,11,engineering,entry,26,large,Japan,130164.0
masters,6,finance,intermediate,39,small,Egypt,106920.65
bachelors,12,engineering,intermediate,25,small,Mexico,112229.91
phd,12,finance,entry,25,small,Nigeria,113944.36
masters,11,medicine,intermediate,24,micro,Mexico,111166.98
bachelors,12,sales,intermediate,1,medium,Philippines,55365.78
masters,6,engineering,senior,39,large,Russia,177873.47
bachelors,11,marketing,senior,10,small,Bangladesh,109543.47
masters,9,education,senior,18,micro,China,81325.08
masters,7,research,senior,12,small,Germany,97750.96
phd,6,research,intermediate,2,micro,Indonesia,52605.86
phd,6,design,entry,23,micro,Nigeria,56904.86
masters,12,finance,intermediate,28,medium,Germany,152633.88
bachelors,8,it,senior,35,medium,Russia,167764.15
phd,9,it,intermediate,29,small,Ethiopia,133992.71
bachelors,12,research,intermediate,7,small,Germany,73379.17
phd,12,research,entry,16,small,dr_congo,83428.37
bachelors,11,finance,senior,1,micro,Bangladesh,87759.33
phd,11,law,intermediate,16,micro,Brazil,112227.94
phd,8,it,intermediate,7,large,Iran,114529.1
phd,8,law,entry,3,small,Indonesia,59211.87
phd,11,law,entry,37,large,India,191913.61
bachelors,7,engineering,entry,18,medium,Turkey,62003.16
phd,7,education,senior,5,medium,Russia,91128.21
bachelors,10,research,intermediate,8,small,Indonesia,64059.58
phd,7,research,intermediate,27,small,Vietnam,103991.16
phd,10,marketing,entry,20,micro,dr_congo,63203.16
masters,11,law,senior,28,micro,Vietnam,142220.5
masters,12,finance,senior,31,small,India,176793.37
phd,9,research,senior,29,micro,Iran,137394.74
masters,12,education,entry,17,small,Ethiopia,58490.67
masters,6,engineering,entry,19,small,Pakistan,59088.2
bachelors,7,finance,intermediate,12,large,Thailand,84343.73
phd,6,marketing,senior,36,medium,China,151751.2
phd,7,law,entry,9,micro,Japan,54432.36
phd,7,finance,entry,35,small,Ethiopia,104332.6
bachelors,12,finance,entry,21,medium,Vietnam,82371.17
phd,6,it,senior,31,medium,Philippines,157213.65
phd,12,law,entry,9,large,Turkey,113285.86
phd,7,design,intermediate,10,small,China,68236.8
phd,6,education,entry,13,large,dr_congo,66018.11
phd,7,it,senior,25,large,Turkey,191075.7
masters,8,education,senior,3,medium,Ethiopia,82414.21
phd,12,engineering,intermediate,16,large,Indonesia,133708.58
masters,10,medicine,senior,31,medium,Bangladesh,210956.66
masters,7,design,intermediate,21,medium,Brazil,88250.52
masters,10,finance,entry,38,medium,USA,135950.5
masters,12,law,senior,12,micro,Russia,138595.94
phd,9,finance,entry,25,small,Vietnam,92048.77
bachelors,6,engineering,entry,40,medium,Philippines,96685.56
phd,7,engineering,entry,17,medium,Vietnam,80227.03
bachelors,7,law,entry,27,micro,Thailand,76144.13
masters,11,it,senior,12,medium,Brazil,152834.49
bachelors,9,sales,intermediate,0,small,Iran,38654.27
bachelors,8,engineering,entry,31,micro,Egypt,67014.57
bachelors,6,design,entry,5,large,USA,39098.28
masters,7,education,entry,9,micro,Thailand,36180.51
phd,6,it,intermediate,24,micro,Russia,82052.09
masters,7,design,senior,33,large,Germany,171486.72
bachelors,9,sales,intermediate,4,medium,Germany,51699.35
masters,9,sales,entry,27,micro,USA,59999.03
masters,11,it,entry,0,large,Iran,58003.59
bachelors,10,education,entry,33,small,USA,74558.07
masters,6,finance,entry,0,micro,Canada,28181.97
masters,11,engineering,entry,17,small,Philippines,74355.6
masters,10,design,intermediate,2,large,Russia,72229.38
masters,10,finance,intermediate,7,medium,Russia,85930.69
bachelors,9,education,intermediate,24,small,Thailand,81505.65
masters,11,sales,entry,23,medium,Philippines,77376.83
bachelors,12,research,entry,36,small,Bangladesh,110422.14
masters,12,medicine,senior,5,small,Bangladesh,130213.81
phd,11,marketing,senior,25,large,Brazil,184013.6
phd,12,education,entry,11,small,Mexico,60754.13
bachelors,9,law,senior,6,small,Nigeria,105449.54
masters,11,engineering,senior,36,large,China,215347.64
phd,11,design,senior,15,micro,Iran,104929.02
masters,11,research,senior,5,large,Indonesia,149026.17
bachelors,12,medicine,entry,22,micro,India,77035.0
phd,7,marketing,entry,38,medium,Bangladesh,110519.93
bachelors,7,medicine,entry,16,large,India,85345.28
bachelors,11,finance,entry,35,medium,Mexico,109230.69
phd,12,engineering,senior,14,micro,Brazil,137998.98
phd,8,it,entry,9,micro,Pakistan,59806.03
bachelors,6,education,senior,1,micro,Russia,57028.52
masters,11,design,senior,5,small,India,98765.89
bachelors,12,engineering,senior,10,large,Egypt,157796.69
bachelors,6,medicine,intermediate,37,large,China,155222.49
bachelors,11,education,entry,26,small,Canada,63827.17
bachelors,12,design,entry,16,small,Egypt,63021.17
phd,12,medicine,senior,29,medium,dr_congo,219720.13
bachelors,11,law,intermediate,38,micro,Germany,142640.45
bachelors,11,education,entry,39,large,USA,110391.4
masters,10,law,intermediate,37,small,Egypt,153274.1
masters,12,law,entry,0,medium,Russia,54900.23
phd,10,law,senior,4,micro,Germany,107651.33
phd,7,sales,senior,9,micro,Iran,82448.23
bachelors,6,it,senior,35,large,Germany,167932.03
bachelors,11,it,senior,31,micro,Egypt,131211.27
masters,11,medicine,entry,16,small,Iran,85017.02
masters,10,marketing,entry,28,large,Bangladesh,114149.87
phd,7,medicine,intermediate,31,medium,Indonesia,161547.76
masters,11,sales,senior,32,micro,Ethiopia,117904.94
masters,12,medicine,entry,24,micro,Bangladesh,91095.34
masters,12,engineering,senior,10,micro,India,107130.47
masters,10,medicine,entry,1,large,China,64891.75
masters,6,research,entry,19,micro,USA,51693.58
masters,8,law,entry,13,small,India,59292.42
bachelors,8,marketing,intermediate,1,small,Germany,41523.93
bachelors,8,finance,intermediate,38,medium,Indonesia,137093.21
bachelors,11,engineering,senior,24,large,Russia,178062.3
bachelors,6,education,senior,5,large,Vietnam,88857.9
masters,11,design,intermediate,40,large,Turkey,169308.13
bachelors,7,engineering,entry,10,medium,Nigeria,41826.59
masters,7,it,intermediate,6,small,Turkey,60170.24
phd,10,design,senior,12,micro,Mexico,110784.43
bachelors,10,finance,entry,18,large,Philippines,81061.34
masters,6,sales,intermediate,3,small,Iran,46710.03
masters,9,sales,intermediate,25,small,Japan,85992.32
phd,6,it,intermediate,10,micro,Turkey,74660.84
masters,8,it,entry,30,medium,Russia,87936.31
masters,6,marketing,senior,19,micro,Indonesia,82080.97
masters,9,design,entry,37,medium,Bangladesh,104652.43
phd,8,sales,intermediate,0,large,Philippines,66315.34
bachelors,11,law,intermediate,22,micro,Brazil,109669.02
bachelors,12,engineering,senior,2,micro,Philippines,87176.48
bachelors,12,design,senior,7,small,Philippines,96528.0
phd,9,education,entry,39,large,Nigeria,112613.09
phd,12,design,entry,39,small,Japan,112288.82
phd,8,education,intermediate,22,micro,Germany,75198.06
masters,12,research,intermediate,28,large,Nigeria,167716.74
phd,8,research,intermediate,32,medium,Thailand,141285.54
masters,9,finance,intermediate,22,medium,Vietnam,107345.8
phd,6,finance,intermediate,14,small,India,89062.39
masters,11,medicine,intermediate,13,medium,Nigeria,118031.09
masters,12,design,intermediate,36,small,Nigeria,130730.17
phd,6,law,intermediate,16,large,Turkey,119373.27
bachelors,8,finance,intermediate,32,small,China,119518.53
phd,6,finance,senior,23,medium,India,133024.03
bachelors,11,marketing,senior,10,small,China,107378.33
phd,8,research,intermediate,13,large,Iran,111456.65
phd,8,it,intermediate,24,small,Indonesia,112085.5
bachelors,10,it,intermediate,19,micro,Japan,88085.47
masters,8,research,entry,24,small,China,77367.49
masters,10,finance,entry,32,small,dr_congo,107354.07
phd,6,it,entry,40,medium,Bangladesh,110514.42
masters,7,design,intermediate,35,medium,India,110533.72
bachelors,9,education,senior,14,micro,Vietnam,83372.3
masters,7,it,entry,23,medium,India,82336.72
bachelors,10,research,entry,9,medium,Turkey,52309.65
masters,11,finance,intermediate,40,small,Egypt,160066.1
masters,12,medicine,entry,10,large,Bangladesh,91994.73
masters,6,education,senior,6,medium,Germany,79356.42
bachelors,8,it,entry,1,small,Iran,30496.06
bachelors,10,design,intermediate,4,large,Turkey,70716.13
phd,8,engineering,senior,17,micro,Vietnam,100289.2
phd,7,research,intermediate,38,medium,India,125289.59
phd,12,marketing,entry,3,micro,China,43039.35
masters,12,sales,intermediate,7,medium,Japan,68946.29
phd,12,finance,senior,10,micro,USA,122100.74
phd,7,research,senior,3,medium,Bangladesh,102085.63
masters,12,education,senior,11,small,USA,99480.11
masters,6,sales,senior,35,micro,Canada,101756.81
bachelors,7,it,senior,24,small,Mexico,123401.78
phd,7,marketing,senior,37,small,Egypt,137888.2
phd,7,education,entry,5,large,Pakistan,55667.59
phd,8,it,entry,29,small,Iran,101451.44
bachelors,7,it,senior,9,large,dr_congo,121563.09
bachelors,7,finance,entry,38,micro,Iran,88024.0
masters,8,design,entry,31,large,Canada,100327.14
bachelors,6,engineering,intermediate,33,micro,Canada,74794.28
phd,8,finance,senior,6,micro,Japan,100713.55
phd,6,education,senior,29,small,Vietnam,109724.28
phd,10,design,entry,7,medium,Pakistan,60213.5
bachelors,9,sales,senior,20,micro,Vietnam,91103.2
bachelors,8,research,intermediate,40,large,Canada,143944.94
masters,7,finance,intermediate,0,medium,China,65705.6
masters,12,research,senior,40,medium,Brazil,198007.8
bachelors,8,finance,intermediate,7,large,Iran,82403.55
phd,10,medicine,intermediate,3,small,Mexico,105187.2
phd,6,sales,intermediate,4,medium,Thailand,54274.07
bachelors,8,marketing,entry,16,micro,China,40893.83
masters,11,it,intermediate,6,micro,Philippines,68280.0
bachelors,7,it,intermediate,22,micro,Ethiopia,70621.37
phd,6,design,entry,6,micro,Ethiopia,40120.91
bachelors,10,law,intermediate,30,medium,dr_congo,148353.66
bachelors,10,medicine,intermediate,20,micro,Mexico,91927.41
phd,8,law,entry,17,medium,USA,82963.34
bachelors,8,finance,entry,7,large,USA,55525.63
masters,10,education,senior,0,small,dr_congo,85729.5
masters,9,research,entry,14,large,Turkey,79080.25
bachelors,6,research,entry,12,medium,Germany,41991.1
phd,11,engineering,intermediate,10,micro,Nigeria,78658.16
masters,10,law,senior,35,small,Pakistan,190990.58
phd,7,law,entry,40,micro,Turkey,98115.7
phd,8,finance,intermediate,9,large,Russia,119834.54
masters,12,engineering,entry,4,large,Nigeria,58437.29
bachelors,6,finance,senior,0,small,Mexico,79809.98
phd,9,law,entry,34,small,USA,109361.77
phd,10,design,senior,21,medium,Iran,154585.1
bachelors,9,it,entry,34,small,Vietnam,88434.1
masters,8,design,entry,28,medium,dr_congo,84906.99
phd,12,it,entry,33,small,Japan,119255.37
bachelors,9,marketing,senior,20,medium,Turkey,124942.66
masters,8,sales,intermediate,8,medium,Ethiopia,67079.23
phd,12,sales,entry,32,small,Russia,104376.28
masters,6,law,senior,1,medium,Nigeria,112252.98
bachelors,9,it,senior,6,large,dr_congo,137638.4
masters,7,it,entry,27,small,Pakistan,82764.84
phd,6,finance,senior,5,medium,Vietnam,117100.16
masters,9,it,entry,37,micro,Ethiopia,98859.03
masters,9,marketing,intermediate,36,micro,Bangladesh,87474.95
phd,9,engineering,entry,33,small,China,108275.36
bachelors,7,research,entry,1,micro,Turkey,24358.81
phd,10,finance,intermediate,1,large,Canada,108015.73
bachelors,6,education,intermediate,29,medium,Japan,87270.73
phd,8,medicine,senior,27,large,Japan,256983.6
bachelors,9,finance,intermediate,6,medium,dr_congo,79179.97
masters,8,medicine,entry,11,large,Philippines,87022.42
masters,8,it,senior,3,medium,dr_congo,119787.1
phd,9,law,intermediate,31,micro,Vietnam,133949.72
masters,10,finance,intermediate,21,small,Thailand,111489.04
masters,10,medicine,senior,7,large,Thailand,182254.51
masters,11,marketing,entry,5,small,Philippines,38714.98
masters,7,finance,senior,4,medium,Japan,99906.16
bachelors,11,research,entry,39,small,Nigeria,98553.38
masters,11,marketing,senior,13,micro,Thailand,104902.18
bachelors,8,law,intermediate,23,small,dr_congo,109760.29
phd,9,marketing,intermediate,17,medium,Canada,106107.4
phd,7,education,intermediate,31,small,Germany,85624.24
masters,8,sales,entry,7,medium,Philippines,40558.59
bachelors,6,sales,entry,16,micro,Philippines,32118.56
bachelors,8,engineering,intermediate,30,large,Brazil,129256.11
masters,11,medicine,entry,38,small,Brazil,128482.25
bachelors,7,engineering,entry,24,large,Nigeria,78629.8
phd,12,engineering,intermediate,27,medium,Indonesia,149747.15
masters,6,design,intermediate,9,micro,Iran,47849.77
masters,7,law,intermediate,7,micro,Egypt,59381.11
masters,7,education,senior,1,large,Canada,93731.42
bachelors,9,research,entry,12,micro,dr_congo,40371.46
masters,6,marketing,senior,15,large,Canada,118926.45
masters,11,marketing,entry,7,micro,Germany,42022.17
bachelors,6,it,entry,3,medium,Brazil,35778.16
bachelors,12,medicine,entry,23,micro,Thailand,81060.54
masters,9,research,entry,35,large,Iran,135422.82
masters,11,marketing,entry,20,small,India,65638.18
phd,7,engineering,senior,9,medium,Ethiopia,106340.02
masters,6,design,senior,32,large,Iran,165861.4
masters,11,finance,senior,33,small,Russia,158549.75
phd,10,sales,entry,7,medium,Pakistan,60052.42
phd,11,research,senior,7,large,Philippines,157891.99
bachelors,7,medicine,senior,11,medium,Nigeria,143127.06
phd,8,education,entry,14,small,China,57453.61
phd,9,education,entry,34,small,Vietnam,94299.54
bachelors,11,it,intermediate,36,micro,Thailand,122129.05
bachelors,12,education,intermediate,17,medium,Russia,84255.22
bachelors,10,sales,senior,32,medium,Egypt,146893.02
masters,12,medicine,intermediate,29,large,Bangladesh,196061.29
bachelors,6,marketing,entry,9,medium,Canada,39180.08
phd,9,medicine,senior,30,large,Vietnam,271674.47
phd,6,education,intermediate,13,small,USA,58994.06
masters,10,medicine,senior,30,small,USA,168675.98
bachelors,10,education,entry,32,medium,India,85124.66
phd,11,marketing,entry,6,small,Canada,54133.47
masters,8,medicine,senior,0,small,Turkey,109423.05
phd,11,marketing,intermediate,30,medium,Mexico,138218.03
bachelors,7,medicine,intermediate,15,medium,Turkey,89568.19
masters,6,education,senior,7,micro,Philippines,61131.62
phd,12,law,entry,35,medium,Egypt,153570.83
masters,9,education,senior,32,small,Brazil,120618.19
phd,11,research,entry,35,micro,Pakistan,103054.05
masters,9,education,senior,28,medium,Indonesia,134149.43
bachelors,9,law,intermediate,36,micro,Ethiopia,127900.05
phd,12,design,intermediate,11,micro,Russia,88660.93
bachelors,12,it,entry,25,medium,Germany,98980.47
bachelors,8,design,senior,24,micro,Germany,91730.44
bachelors,7,sales,senior,27,micro,Ethiopia,85791.0
bachelors,12,research,intermediate,19,small,Nigeria,104737.59
bachelors,6,sales,intermediate,11,medium,Brazil,54230.5
phd,6,finance,entry,20,medium,Japan,86083.81
phd,7,design,intermediate,26,large,Russia,124078.21
masters,10,it,senior,24,micro,Russia,121240.01
masters,9,medicine,intermediate,25,medium,Bangladesh,142711.09
bachelors,8,it,senior,13,large,Nigeria,137559.46
bachelors,11,engineering,intermediate,31,small,Nigeria,109792.94
bachelors,6,sales,entry,8,small,Russia,32656.12
bachelors,9,law,entry,4,micro,Bangladesh,33656.98
bachelors,7,medicine,intermediate,32,micro,Germany,100162.33
phd,6,design,senior,33,medium,Nigeria,127658.02
bachelors,8,sales,senior,9,medium,dr_congo,87910.4
masters,12,education,senior,16,large,dr_congo,151935.2
masters,7,law,entry,22,medium,China,80913.83
bachelors,10,finance,entry,3,medium,Iran,39019.43
bachelors,11,sales,senior,22,small,Turkey,111005.41
bachelors,10,design,senior,30,small,Bangladesh,123047.43
phd,12,it,senior,36,large,Russia,294631.98
phd,10,sales,senior,32,medium,Ethiopia,153957.38
masters,6,engineering,senior,8,small,Mexico,96516.57
bachelors,6,design,intermediate,2,large,Bangladesh,58526.22
masters,12,marketing,senior,28,micro,Russia,132174.76
masters,8,research,entry,35,micro,Indonesia,73630.04
phd,9,education,intermediate,21,large,Pakistan,107753.77
bachelors,6,education,entry,9,medium,Bangladesh,31718.99
masters,7,medicine,entry,21,medium,Iran,91837.6
masters,10,sales,senior,7,medium,dr_congo,109028.12
phd,10,design,senior,2,medium,Russia,112393.89
bachelors,12,medicine,entry,10,large,Ethiopia,80932.77
phd,11,design,intermediate,1,small,dr_congo,66249.59
masters,11,law,entry,23,micro,Indonesia,83556.47
masters,7,design,intermediate,10,medium,Brazil,63398.08
bachelors,8,education,intermediate,23,medium,Germany,85489.82
bachelors,8,it,entry,40,small,USA,103288.54
masters,11,it,senior,7,medium,China,122106.38
masters,9,marketing,entry,28,large,Nigeria,103027.11
phd,6,education,entry,25,large,Ethiopia,83425.55
masters,6,research,entry,17,medium,Russia,63179.5
phd,7,it,senior,37,large,Thailand,209892.55
bachelors,7,marketing,intermediate,15,micro,Indonesia,57223.54
phd,8,education,entry,6,medium,Nigeria,51743.11
bachelors,11,medicine,entry,34,micro,Bangladesh,96800.4
phd,11,education,intermediate,16,small,Bangladesh,82086.76
bachelors,10,it,entry,1,large,Vietnam,47724.14
masters,8,education,intermediate,30,micro,Canada,80038.16
phd,11,research,senior,40,small,Germany,168052.64
masters,9,marketing,intermediate,40,large,Ethiopia,150489.7
phd,7,it,senior,2,medium,Canada,115317.43
phd,9,finance,entry,20,small,Russia,77464.29
phd,9,design,senior,26,medium,Iran,150786.19
masters,8,law,senior,7,medium,Iran,136940.95
bachelors,12,education,intermediate,1,large,Japan,70121.73
masters,9,marketing,senior,5,small,Pakistan,94536.06
masters,12,research,senior,12,large,Canada,163457.59
masters,9,engineering,intermediate,8,micro,Philippines,57483.87
phd,7,medicine,intermediate,13,micro,Pakistan,81902.59
bachelors,8,sales,intermediate,10,medium,Vietnam,61561.86
phd,7,design,senior,34,micro,India,111609.65
bachelors,10,law,entry,11,small,China,57671.59
bachelors,12,design,senior,6,small,Bangladesh,94184.67
phd,7,medicine,intermediate,30,small,Nigeria,134113.63
bachelors,8,finance,intermediate,37,medium,Egypt,136632.37
masters,10,law,entry,18,medium,Indonesia,81495.48
masters,10,research,senior,24,large,Indonesia,187374.86
masters,9,design,senior,18,medium,China,131820.35
bachelors,10,finance,senior,25,micro,Thailand,116036.27
phd,6,medicine,entry,7,small,Russia,58521.67
masters,12,medicine,senior,40,large,USA,276032.0
masters,10,design,intermediate,12,small,Philippines,71372.7
masters,7,sales,senior,16,medium,Brazil,94165.9
bachelors,6,law,intermediate,35,micro,Brazil,89312.01
phd,9,engineering,entry,38,small,Brazil,120883.98
masters,11,marketing,intermediate,21,large,Mexico,118602.16
phd,7,law,senior,18,micro,Ethiopia,129589.4
masters,12,law,senior,37,large,Brazil,249731.59
phd,10,research,intermediate,26,small,Germany,122493.05
phd,8,finance,intermediate,36,small,Philippines,132049.66
phd,12,design,entry,2,medium,Nigeria,61895.15
masters,9,design,senior,35,large,Canada,200882.91
masters,9,education,intermediate,14,small,Mexico,73359.24
bachelors,12,education,intermediate,29,small,India,101710.73
phd,9,design,senior,28,small,Pakistan,146717.6
bachelors,12,sales,intermediate,33,micro,Japan,92392.02
masters,7,law,intermediate,31,small,Turkey,108841.54
bachelors,6,education,entry,21,large,Ethiopia,65307.54
phd,7,design,senior,4,small,USA,83479.08
phd,12,engineering,intermediate,34,medium,Russia,174856.95
masters,10,research,entry,32,medium,USA,100616.63
masters,8,engineering,entry,28,medium,China,84501.05
phd,12,education,entry,0,large,Turkey,56533.77
